URL,Pathophysiological Process,Subject,Predicate,Object
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png,Viral_Entry_Through_Olfactory_Neurons,SARS-CoV-2,enters,olfactory_neurons
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png,Viral_Entry_Through_Olfactory_Neurons,Olfactory_neurons,connect_to,olfactory_bulb
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png,Viral_Entry_Through_Olfactory_Neurons,SARS-CoV-2,reaches,brain
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png,Blood-Brain_Barrier_Disruption,SARS-CoV-2,binds_to,ACE2
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png,Blood-Brain_Barrier_Disruption,ACE2,located_on,endothelial_cells
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png,Blood-Brain_Barrier_Disruption,Endothelial_cells,form,blood-brain_barrier
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png,Blood-Brain_Barrier_Disruption,Blood-brain_barrier,experiences,disruption
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png,Blood-Brain_Barrier_Disruption,Disruption,causes,brain_edema
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png,Immune_Response_Activation,Unknown_trigger,activates,B_cells
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png,Immune_Response_Activation,Activated_B_cells,produce,antibodies
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png,Immune_Response_Activation,Antibodies,target,viral_antigens
